Poema de Gilgamesh ;An¢nimo ;Siglo XX a. C. ;Sumeria e Imperio acadio ;Acadio 
Ensayo sobre la ceguera ;JosÇ Saramago   ;;Portugal ;PortuguÇs 
Hamlet ;William Shakespeare ;;Inglaterra ;InglÇs 
El rey Lear ;William Shakespeare ;;Inglaterra ;InglÇs 
Otelo ;William Shakespeare ;;Inglaterra ;InglÇs 
Edipo rey ;S¢focles ;430 a. C. ;Imperio ateniense ;Griego cl†sico 
Rojo y negro ;Stendhal ;;Francia ;FrancÇs 
Vida y opiniones del caballero Tristram Shandy ;Laurence Sterne ;;Inglaterra ;InglÇs 
La conciencia de Zeno ;Italo Svevo ;;Italia ;Italiano 
Los viajes de Gulliver ;Jonathan Swift ;;Irlanda ;InglÇs 
Guerra y paz ;Lev Tolst¢i ;1865-1869 ;Rusia ;Ruso 
Ana Karenina ;Lev Tolst¢i ;;Rusia ;Ruso 
La muerte de Iv†n Ilich ;Lev Tolst¢i ;;Rusia ;Ruso 
Las aventuras de Huckleberry Finn ;Mark Twain ;;Estados Unidos ;InglÇs 
Ramayana ;Valmiki ;siglo III a. C.-siglo III d. C. ;India ;S†nscrito 
Eneida ;Virgilio ;29-19 a. C. ;Imperio romano ;lat°n cl†sico 
Mahabh†rata ;Viasa ;siglo IV a.C. ;India ;S†nscrito 
Hojas de hierba ;Walt Whitman ;;Estados Unidos ;InglÇs 
La se§ora Dalloway ;Virginia Woolf ;;Reino Unido ;InglÇs 
Al faro ;Virginia Woolf ;;Reino Unido ;InglÇs 
Memorias de Adriano ;Marguerite Yourcenar ;;Francia ;FrancÇs
